player_id,player_name,standardized_name,all_teams,total_appearances,team1,team1_appearances,is_in_team1,team2,team2_appearances,is_in_team2,team3,team3_appearances,is_in_team3,is_retired
5067,Bernardo Silva,Bernardo Silva,Manchester City,299,Manchester City,299,yes,,0,no,,0,no,no
566,Darren Anderton,Darren Anderton,Tottenham Hotspur,297,Tottenham Hotspur,297,no,,0,no,,0,no,yes
315,Denis Irwin,Denis Irwin,Manchester United,296,Manchester United,296,no,,0,no,,0,no,yes
8163,Lewis Dunk,Lewis Dunk,Brighton & Hove Albion,296,Brighton & Hove Albion,296,yes,,0,no,,0,no,no
1962,Shola Ameobi,Shola Ameobi,Newcastle United,295,Newcastle United,295,no,,0,no,,0,no,yes
4539,Wilfried Zaha,Wilfried Zaha,Crystal Palace,291,Crystal Palace,291,no,,0,no,,0,no,no
1246,Claus Lundekvam,Claus Lundekvam,Southampton,290,Southampton,290,no,,0,no,,0,no,yes
13565,Marcus Rashford,Marcus Rashford,Manchester United,287,Manchester United,287,no,,0,no,,0,no,no
4288,Kevin De Bruyne,Kevin De Bruyne,Manchester City,285,Manchester City,285,no,,0,no,,0,no,no
2911,Pepe Reina,Pepe Reina,Liverpool,285,Liverpool,285,no,,0,no,,0,no,yes
1132,Patrick Vieira,Patrick Vieira,Arsenal,279,Arsenal,279,no,,0,no,,0,no,yes
2299,Glenn Whelan,Glenn Whelan,Stoke City,276,Stoke City,276,no,,0,no,,0,no,yes
2508,Kasper Schmeichel,Kasper Schmeichel,Leicester City,276,Leicester City,276,no,,0,no,,0,no,no
1526,Jermain Defoe,Jermain Defoe,Tottenham Hotspur,276,Tottenham Hotspur,276,no,,0,no,,0,no,yes
12707,Ederson,Ederson,Manchester City,276,Manchester City,276,no,,0,no,,0,no,no
4328,Sergio Agüero,Sergio Agüero,Manchester City,275,Manchester City,275,no,,0,no,,0,no,yes
4112,Eric Dier,Eric Dier,Tottenham Hotspur,274,Tottenham Hotspur,274,no,,0,no,,0,no,no
10458,Andrew Robertson,andy robertson,Liverpool,273,Liverpool,273,no,,0,no,,0,no,no
2934,Patrice Evra,Patrice Evra,Manchester United,273,Manchester United,273,no,,0,no,,0,no,yes
2839,Theo Walcott,Theo Walcott,Arsenal,270,Arsenal,270,no,,0,no,,0,no,yes
533,Matt Le Tissier,matthew le tissier,Southampton,270,Southampton,270,no,,0,no,,0,no,yes
332,Nicky Butt,Nicky Butt,Manchester United,270,Manchester United,270,no,,0,no,,0,no,yes
11,Nigel Winterburn,Nigel Winterburn,Arsenal,270,Arsenal,270,no,,0,no,,0,no,yes
3744,Chris Brunt,Chris Brunt,West Bromwich Albion,269,West Bromwich Albion,269,no,,0,no,,0,no,yes
1627,Ledley King,Ledley King,Tottenham Hotspur,268,Tottenham Hotspur,268,no,,0,no,,0,no,yes
5140,Virgil van Dijk,Virgil van Dijk,Liverpool,268,Liverpool,268,no,,0,no,,0,no,no
9595,Michail Antonio,Michail Antonio,West Ham United,268,West Ham United,268,no,,0,no,,0,no,no
721,Rob Lee,robert lee,Newcastle United,267,Newcastle United,267,no,,0,no,,0,no,yes
3143,Joe Hart,Joe Hart,Manchester City,266,Manchester City,266,no,,0,no,,0,no,yes
2270,Aaron Lennon,Aaron Lennon,Tottenham Hotspur,266,Tottenham Hotspur,266,no,,0,no,,0,no,yes
277,Robbie Fowler,Robbie Fowler,Liverpool,266,Liverpool,266,no,,0,no,,0,no,yes
331,David Beckham,David Beckham,Manchester United,265,Manchester United,265,no,,0,no,,0,no,yes
3653,Vincent Kompany,Vincent Kompany,Manchester City,265,Manchester City,265,no,,0,no,,0,no,yes
1881,Tony Hibbert,Tony Hibbert,Everton,265,Everton,265,no,,0,no,,0,no,yes
750,Des Walker,Des Walker,Sheffield Wednesday,264,Sheffield Wednesday,264,no,,0,no,,0,no,yes
4804,Fernandinho,Fernandinho,Manchester City,264,Manchester City,264,no,,0,no,,0,no,yes
48285,Aaron Ramsey,Aaron Ramsey,Arsenal,262,Arsenal,262,no,,0,no,,0,no,yes
1420,Brad Friedel,Brad Friedel,Blackburn Rovers,261,Blackburn Rovers,261,no,,0,no,,0,no,yes
2040,Kevin Nolan,Kevin Nolan,Bolton Wanderers,261,Bolton Wanderers,261,no,,0,no,,0,no,yes
107,Dennis Wise,Dennis Wise,Chelsea,261,Chelsea,261,no,,0,no,,0,no,yes
3360,Branislav Ivanovic,Branislav Ivanovic,Chelsea,261,Chelsea,261,no,,0,no,,0,no,yes
72,Alan Wright,Alan Wright,Aston Villa,260,Aston Villa,260,no,,0,no,,0,no,yes
2636,Morten Gamst Pedersen,morten pedersen,Blackburn Rovers,259,Blackburn Rovers,259,no,,0,no,,0,no,yes
14732,Trent Alexander-Arnold,Trent Alexander-Arnold,Liverpool,259,Liverpool,259,no,,0,no,,0,no,no
1659,Thierry Henry,Thierry Henry,Arsenal,258,Arsenal,258,no,,0,no,,0,no,yes
13511,Roberto Firmino,Roberto Firmino,Liverpool,256,Liverpool,256,no,,0,no,,0,no,no
4030,Laurent Koscielny,Laurent Koscielny,Arsenal,255,Arsenal,255,no,,0,no,,0,no,yes
3,Tony Adams,Tony Adams,Arsenal,255,Arsenal,255,no,,0,no,,0,no,yes
557,Sol Campbell,Sol Campbell,Tottenham Hotspur,255,Tottenham Hotspur,255,no,,0,no,,0,no,yes
20559,Alisson,alisson becker,Liverpool,254,Liverpool,254,no,,0,no,,0,no,no
2662,Didier Drogba,Didier Drogba,Chelsea,254,Chelsea,254,no,,0,no,,0,no,yes
1184,Richard Dunne,Richard Dunne,Manchester City,253,Manchester City,253,no,,0,no,,0,no,yes
3512,Adam Smith,Adam Smith,Bournemouth,252,Bournemouth,252,no,,0,no,,0,no,no
307,Peter Schmeichel,Peter Schmeichel,Manchester United,252,Manchester United,252,no,,0,no,,0,no,yes
848,Lee Hendrie,Lee Hendrie,Aston Villa,251,Aston Villa,251,no,,0,no,,0,no,yes
2041,Ricardo Gardner,Ricardo Gardner,Bolton Wanderers,251,Bolton Wanderers,251,no,,0,no,,0,no,yes
1719,Mikaël Silvestre,Mikaël Silvestre,Manchester United,249,Manchester United,249,no,,0,no,,0,no,yes
3102,John Obi Mikel,John Obi Mikel,Chelsea,249,Chelsea,249,no,,0,no,,0,no,yes
3137,Lucas Leiva,Lucas Leiva,Liverpool,247,Liverpool,247,no,,0,no,,0,no,yes
2434,Brett Emerton,Brett Emerton,Blackburn Rovers,247,Blackburn Rovers,247,no,,0,no,,0,no,yes
4408,Ben Davies,Ben Davies,Tottenham Hotspur,245,Tottenham Hotspur,245,yes,,0,no,,0,no,no
4503,Eden Hazard,Eden Hazard,Chelsea,245,Chelsea,245,no,,0,no,,0,no,yes
41,Steve Staunton,Steve Staunton,Aston Villa,244,Aston Villa,244,no,,0,no,,0,no,yes
2529,James Morrison,James Morrison,West Bromwich Albion,244,West Bromwich Albion,244,no,,0,no,,0,no,yes
22542,Pascal Groß,Pascal Groß,Brighton & Hove Albion,244,Brighton & Hove Albion,244,yes,,0,no,,0,no,no
523,Francis Benali,Francis Benali,Southampton,243,Southampton,243,no,,0,no,,0,no,yes
3404,Martin Skrtel,Martin Skrtel,Liverpool,242,Liverpool,242,no,,0,no,,0,no,no
3285,Antonio Valencia,Antonio Valencia,Manchester United,241,Manchester United,241,no,,0,no,,0,no,yes
271,Steve McManaman,Steve McManaman,Liverpool,240,Liverpool,240,no,,0,no,,0,no,yes
4224,James McArthur,James McArthur,Crystal Palace,240,Crystal Palace,240,no,,0,no,,0,no,yes
544,Ian Walker,Ian Walker,Tottenham Hotspur,240,Tottenham Hotspur,240,no,,0,no,,0,no,yes
877,Duncan Ferguson,Duncan Ferguson,Everton,239,Everton,239,no,,0,no,,0,no,yes
9576,Dominic Calvert-Lewin,Dominic Calvert-Lewin,Everton,239,Everton,239,no,,0,no,,0,no,no
1692,Robbie Keane,Robbie Keane,Tottenham Hotspur,238,Tottenham Hotspur,238,no,,0,no,,0,no,yes
2522,Cristiano Ronaldo,Cristiano Ronaldo,Manchester United,236,Manchester United,236,no,,0,no,,0,no,no
2805,Michael Dawson,Michael Dawson,Tottenham Hotspur,236,Tottenham Hotspur,236,no,,0,no,,0,no,yes
576,Teddy Sheringham,Teddy Sheringham,Tottenham Hotspur,236,Tottenham Hotspur,236,no,,0,no,,0,no,yes
1558,David Weir,David Weir,Everton,235,Everton,235,no,,0,no,,0,no,yes
1217,Ole Gunnar Solskjaer,Ole Gunnar Solskjaer,Manchester United,235,Manchester United,235,no,,0,no,,0,no,yes
78,Tim Sherwood,Tim Sherwood,Blackburn Rovers,235,Blackburn Rovers,235,no,,0,no,,0,no,yes
847,Ian Taylor,Ian Taylor,Aston Villa,234,Aston Villa,234,no,,0,no,,0,no,yes
2110,John Arne Riise,John Arne Riise,Liverpool,234,Liverpool,234,no,,0,no,,0,no,yes
4748,Willian,Willian,Chelsea,234,Chelsea,234,no,,0,no,,0,no,no
2024,Tugay Kerimoğlu,tugay,Blackburn Rovers,233,Blackburn Rovers,233,no,,0,no,,0,no,yes
4666,Jan Vertonghen,Jan Vertonghen,Tottenham Hotspur,232,Tottenham Hotspur,232,no,,0,no,,0,no,yes
1211,Wes Brown,Wes Brown,Manchester United,232,Manchester United,232,no,,0,no,,0,no,yes
