player_id,player name,clubs,total_appearances,is_retired
2613,appearances,AIK,282,True
2755,appearances,Aston Villa,281,True
4492,appearances,D.C. United,280,True
2127,appearances,,280,True
721,appearances,,280,True
23,appearances,FW England,280,True
1664,appearances,Leeds United,280,True
8980,appearances,Norwich City,280,True
2616,appearances,Feyenoord,280,True
2018,appearances,Doncaster Rovers,279,True
3010,appearances,Ipswich Town,278,True
13823,appearances,NEOM,278,True
2934,appearances,,278,True
4290,appearances,Napoli,278,True
4287,appearances,,278,True
4135,appearances,,278,True
107,appearances,Millwall,278,True
590,appearances,,277,True
4604,appearances,"Crystal Palace, Liverpool",277,False
3909,appearances,Sheffield United,277,True
3756,appearances,"Nott'm Forest, Newcastle",277,False
2098,appearances,Burton Albion,276,True
259,appearances,,276,True
3811,appearances,Blackburn Rovers,276,True
12707,appearances,Fenerbahçe,276,True
2299,appearances,Bristol Rovers,276,True
4328,appearances,,275,True
74,appearances,Rangers,275,True
271,appearances,,275,True
1719,appearances,SV Werder Bremen,275,True
4112,appearances,Monaco,274,True
3360,appearances,West Bromwich Albion,274,True
1049,appearances,Galatasaray,274,True
1168,appearances,Leicester City,274,True
9576,appearances,"Leeds, Everton",273,False
24630,appearances,"Spurs, Everton",273,False
1502,appearances,Portsmouth,273,True
80,appearances,Leicester City,273,True
3979,appearances,,272,True
2949,appearances,Sunderland,271,True
4979,appearances,"West Ham, Fulham",271,False
533,appearances,,270,True
8454,appearances,"West Ham, Newcastle",270,False
2303,appearances,Burnley,269,True
3744,appearances,,269,True
877,appearances,,269,True
9595,appearances,,268,True
1595,appearances,,268,True
1627,appearances,Tottenham Hotspur,268,True
3311,appearances,Montreal Impact,267,True
243,appearances,,266,True
937,appearances,,266,True
2758,appearances,Chelsea,266,True
331,appearances,,265,True
1881,appearances,Everton,265,True
2274,appearances,,265,True
3653,appearances,,265,True
1982,appearances,,265,True
1309,appearances,Leicester City,265,True
1118,appearances,Doncaster Rovers,264,True
4804,appearances,,264,True
750,appearances,,264,True
6519,appearances,Al-Nassr,263,True
1768,appearances,,263,True
406,appearances,,263,True
2886,appearances,,262,True
3548,appearances,Cardiff City,262,True
320,appearances,,261,True
497,appearances,,261,True
3604,appearances,Manchester United,260,True
2847,appearances,,260,True
14732,appearances,Real Madrid,259,True
2636,appearances,,259,True
1659,appearances,,258,True
3851,appearances,Wrexham,258,True
12136,appearances,"Sunderland, Bayer 04",258,False
2013,appearances,,257,True
228,appearances,,257,True
13511,appearances,,256,True
2537,appearances,Leicester City,256,True
4505,appearances,"Man City, Everton",256,False
3,appearances,,255,True
4481,appearances,Lille,255,True
4030,appearances,Bordeaux,255,True
390,appearances,,255,True
20559,appearances,"Liverpool, Roma",254,False
2662,appearances,Phoenix Rising,254,True
12582,appearances,"Everton, Paris SG",254,False
5272,appearances,Marseille,254,True
3512,appearances,"Bournemouth, Derby",254,False
5758,appearances,"Aston Villa, Everton",253,False
154,appearances,Millwall,253,True
2553,appearances,Coventry City,252,True
4499,appearances,"Man City, Bournemouth",252,False
1429,appearances,,252,True
2603,appearances,Brighton & Hove Albion,252,True
1337,appearances,,251,True
2041,appearances,,251,True
848,appearances,,251,True
3861,appearances,,251,True
958,appearances,Exeter City,251,True
4985,appearances,"Fulham, Arsenal",250,False
304,appearances,,250,True
3102,appearances,Stoke City,249,True
3175,appearances,,248,True
670,appearances,,248,True
24797,appearances,"Everton, Burnley",248,False
3137,appearances,,247,True
10079,appearances,"Newcastle, Charlton",247,False
583,appearances,Doncaster Rovers,247,True
847,appearances,Derby County,247,True
5175,appearances,,247,True
2434,appearances,,246,True
22542,appearances,"Brighton, Borussia Dortmund",246,False
4503,appearances,Real Madrid,245,True
2928,appearances,,245,True
4179,appearances,Club Brugge,245,True
598,appearances,,244,True
1565,appearances,Middlesbrough,244,True
523,appearances,,243,True
4123,appearances,Guangzhou R&F,243,True
1335,appearances,,243,True
5865,appearances,"Aston Villa, Leicester",243,False
245,appearances,Darlington,243,True
3448,appearances,Watford,242,True
